epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1924.28,1.21569,1.53345,1.25727,0.5757,0.42557,0.44853,0.30874,1.20694,1.38433,1.21546,0.00333311,0.00333311,0.00333311
2,3682.73,1.32368,1.80141,1.33091,0.56519,0.39984,0.428,0.29441,1.2167,1.42961,1.23476,0.00653445,0.00653445,0.00653445
3,5393.8,1.40523,2.02631,1.39452,0.56478,0.37456,0.40322,0.27433,1.24294,1.52469,1.26715,0.00960378,0.00960378,0.00960378
4,7109.02,1.41635,2.0613,1.40951,0.56359,0.3565,0.38792,0.26491,1.25661,1.65634,1.28287,0.009406,0.009406,0.009406
5,8802.58,1.3747,1.95144,1.37948,0.57326,0.35604,0.39447,0.27093,1.25047,1.65639,1.27923,0.009208,0.009208,0.009208
6,10489.7,1.35154,1.89218,1.36487,0.57834,0.36149,0.39844,0.27428,1.24229,1.65054,1.2737,0.00901,0.00901,0.00901
7,12168.7,1.33394,1.84944,1.35281,0.58054,0.3628,0.40185,0.27778,1.23616,1.6458,1.2695,0.008812,0.008812,0.008812
8,13846.2,1.32437,1.81948,1.34439,0.5839,0.36733,0.40567,0.28055,1.23062,1.63486,1.26563,0.008614,0.008614,0.008614
9,1671.03,1.33082,1.83719,1.3476,0.58202,0.37784,0.41515,0.28719,1.21934,1.56225,1.25536,0.008416,0.008416,0.008416
10,3299.23,1.32645,1.82113,1.34339,0.58351,0.38565,0.42182,0.29205,1.21197,1.51571,1.24855,0.008218,0.008218,0.008218
11,4985.3,1.31646,1.79636,1.33606,0.58836,0.38839,0.4265,0.29512,1.20676,1.48731,1.24399,0.00802,0.00802,0.00802
12,6641.68,1.30913,1.77653,1.33173,0.57583,0.3965,0.43064,0.29823,1.20326,1.46775,1.24084,0.007822,0.007822,0.007822
13,8281.7,1.30218,1.76096,1.32661,0.57511,0.40161,0.43437,0.30111,1.19974,1.4522,1.2379,0.007624,0.007624,0.007624
14,9930.04,1.29721,1.7503,1.32407,0.57768,0.40459,0.43822,0.30439,1.19546,1.43705,1.23374,0.007426,0.007426,0.007426
15,11590,1.29188,1.73531,1.31991,0.58136,0.4066,0.44146,0.30684,1.19103,1.4212,1.23003,0.007228,0.007228,0.007228
16,13259,1.28868,1.7253,1.31647,0.57969,0.40721,0.44403,0.30868,1.18731,1.40594,1.22679,0.00703,0.00703,0.00703
17,1693.17,1.28129,1.70759,1.31185,0.58475,0.40995,0.44724,0.31102,1.18491,1.39144,1.2241,0.006832,0.006832,0.006832
18,3496.07,1.28611,1.71481,1.31419,0.58479,0.41365,0.45035,0.31296,1.18261,1.37954,1.22192,0.006634,0.006634,0.006634
19,5187.54,1.28167,1.70916,1.31192,0.58423,0.4166,0.45285,0.31437,1.18089,1.37095,1.22019,0.006436,0.006436,0.006436
20,6833.9,1.27943,1.70029,1.30985,0.58363,0.41811,0.45458,0.31586,1.17972,1.36411,1.21924,0.006238,0.006238,0.006238
21,8474.33,1.27515,1.69108,1.30665,0.58628,0.41959,0.4563,0.3173,1.17733,1.35662,1.21691,0.00604,0.00604,0.00604
22,10110.9,1.27229,1.68332,1.30546,0.58382,0.4241,0.45782,0.31857,1.17526,1.35042,1.21484,0.005842,0.005842,0.005842
23,11753.2,1.26722,1.67294,1.30168,0.58553,0.42547,0.45936,0.31974,1.17346,1.34453,1.2131,0.005644,0.005644,0.005644
24,13380.5,1.26546,1.66575,1.29935,0.58652,0.42639,0.46143,0.3213,1.17076,1.33878,1.2107,0.005446,0.005446,0.005446
25,14995.4,1.2614,1.65688,1.29719,0.5864,0.42827,0.46286,0.32279,1.16908,1.33436,1.20898,0.005248,0.005248,0.005248
26,16606.2,1.25785,1.6447,1.29354,0.59256,0.42878,0.46474,0.32397,1.16765,1.32939,1.20743,0.00505,0.00505,0.00505
27,18221.2,1.25319,1.63822,1.29025,0.5966,0.42955,0.46645,0.32527,1.16564,1.32386,1.2055,0.004852,0.004852,0.004852
28,19845.8,1.25161,1.63158,1.28921,0.59977,0.42974,0.46819,0.32652,1.16395,1.32004,1.20356,0.004654,0.004654,0.004654
29,21453.7,1.24809,1.62331,1.28746,0.59906,0.43065,0.46943,0.32778,1.16235,1.31583,1.20205,0.004456,0.004456,0.004456
30,23052.5,1.24544,1.61465,1.2843,0.60081,0.43173,0.47141,0.32899,1.16106,1.31194,1.2005,0.004258,0.004258,0.004258
